cluster_id,cluster_size,cluster_content,center
30,10,isARareCauseOf(2) isAMajorCauseOf(1) areAbleToCause(1) isAPanInvestigationFor(1) isAPossibleCauseOf(1) isARareDisorder(1) isAMoreCommonCauseOf(1) isARecognizedCauseOf(1) isPossible(1),isARareCauseOf
31,5,reveal(5),reveal
32,105,isSeenIn(105),isSeenIn
33,11,prevent(5) toPrevent(2) canPrevent(1) wouldBeToPrevent(1) willPrevent(1) canPreventOrEliminate(1),canPrevent
34,95,isCharacterizedBy(87) isCharacterisedBy(4) isCharacterizedIn(1) areCharacterizedBy(1) canBeCharacterizedBy(1) isCharacterizedAs(1),isCharacterizedBy
35,8,willTransmit(2) areTransferredIn(1) toTransferUnderstoodWordTo(1) areTransmittedPrimarilyTo(1) mayBeTransmittedTo(1) isTransferredTo(1) isTransmittedTo(1),isTransmittedTo
36,26,isMostCommonIn(4) mostCommonPresentationIs(1) mostCommonPresentation(1) mostOftenOccursIn(1) isMostAssociatedWith(1) isTheMostCommon(1) isMostCommonDueTo(1) isTheMostCommonSiteOf(1) areMostFrequentlyLocatedIn(1) mostCommonIntraoralLocationIs(1) isMostMedialAmong(1) isMostLateralAmong(1) isMostWidelyDistributed(1) isMostHeterogenous(1) mostImportantFactorToBeConsideredIs(1) areMostCommonIn(1) isMostCommonAt(1) isTheMostCommonSiteFor(1) isMostProminentIn(1) mostOftenResultingFrom(1) mostCommonSymptomIs(1) isMostWidelyUsed(1) isTheMostCommonTypeOf(1),isTheMostCommon
37,41,produces(38) producesMore(3),produces
38,33,forms(30) formsWithin(2) formsAbout(1),formsAbout
39,274,include(274),include
40,9,constricts(3) constitutes(2) facilitates(1) restricts(1) census(1) facilitate(1),facilitates
41,11,presentsTo(7) presents(4),presentsTo
42,9,isPresenceOf(1) agglutinateInThePresenceOf(1) isStageOf(1) haveAbsenceOf(1) willDeteInThePresenceOf(1) showedPresenceOf(1) isPersistentOf(1) absenceOf(1) showedThePresenceOf(1),isPresenceOf
43,49,isTreatedWith(24) canBeTreatedWith(7) isTreatedBy(4) isTreatedFor(2) shouldBeTreatedWith(2) canBeTreatedBy(2) isTreatedAsAggravated(2) isNotTreatedBy(1) mayBeTreatedWith(1) shouldBeTreated(1) areTreated(1) wasTreatedWith(1) areTreatedBy(1),areTreatedBy
44,36,suggests(27) suggest(7) stronglySuggests(1) suggested(1),suggests
45,30,isLocated(10) isLocatedIn(9) isLocatedOn(4) isSituatedIn(4) isSituatedMainlyOn(1) isSituatedOn(1) isLocalizedOn(1),isLocatedOn
46,85,isPresentIn(62) isPresentAt(4) isNotPresentIn(3) areNotPresentIn(2) isUsuallyPresentIn(2) isPresentOn(2) isNormallyPresentIn(1) isAvailableIn(1) isUsuallyNotPresentIn(1) isPresent(1) isMainlyPresentIn(1) isPresentingIn(1) previouslyPresentIn(1) isPresentWhen(1) isPresentWith(1) isActiveIn(1),isUsuallyPresentIn
47,13,hasEffect(1) hasEffects(1) hasTheMaximumEffectOn(1) conveyVisualImpulsesTo(1) hadNoEffectFrom(1) haveEffectOn(1) hasAPositiveFeedbackOn(1) hasANegativeFeedbackOn(1) effectsAChangeIn(1) hasProfoundEffectsOn(1) doesnTHaveAnyEffectOn(1) hasLeastEffectOnThePrognosisOf(1) hasStage(1),hasEffect
48,89,presentedWith(84) hasPresentationOf(1) presentedFor(1) wasPresentedWith(1) hasPresentedWith(1) typicalPresentation(1),wasPresentedWith
49,71,involves(67) involve(3) involving(1),involve
50,75,contains(75),contains
51,49,requires(37) require(9) requiresBooster(2) required(1),requires
52,31,states(26) state(3) statesIn(1) stateThat(1),statesIn
53,19,dependsOn(17) dependsMainlyOn(1) primarilyDependsOn(1),dependsMainlyOn
54,84,have(84),have
55,10,isUsedToDetect(3) isDetectableIn(1) isUsedToPredict(1) isUsedToCheck(1) usedToDetect(1) isAVeryGoodTimeToDetect(1) isToDetect(1) isUsedForTheDetectionOf(1),isUsedToDetect
56,42,uses(38) utilizes(4),uses
57,30,developsFrom(10) developedIn(3) developedFrom(2) developsAt(2) developFrom(1) developsBefore(1) developsOver(1) willDevelop(1) developsPeripartum(1) developsAfter(1) developsIn(1) developIn(1) developsWith(1) developsWhen(1) developInto(1) developsInitiallyAs(1) developsOn(1),developsOn
58,13,isOf(7) areOf(2) areSourceOf(1) isTheSumOf(1) areDescendantsOf(1) typicalOf(1),areOf
59,45,canCause(44) cannotCause(1),canCause
60,34,isDefinedAs(25) isDefinedBy(5) canBeDefinedAs(2) isVariablyDefinedAs(1) definesAChildAs(1),canBeDefinedAs
61,42,isFoundIn(28) foundIn(3) isUsuallyFoundIn(2) isFoundBelow(1) foundSomeStoneIn(1) isLostIn(1) isFoundAt(1) canBeFoundIn(1) arePreferablyFoundIn(1) isFoundDuring(1) isFound(1) wasFoundIn(1),wasFoundIn
62,54,refersTo(54),refersTo
63,35,provides(33) providesGuidanceOn(1) providesFor(1),providesFor
64,23,isReferredToAs(7) isReferredAs(5) isReferredToBy(3) areReferredToAs(2) isReferredTo(2) areReferredToClinicallyAs(1) shouldBeReferredTo(1) areReferredAs(1) isSometimesReferredToAs(1),areReferredToAs
65,34,affects(28) affect(4) influences(1) effect(1),affect
66,53,was(53),was
67,18,mostFrequentlyRequiring(2) areLessFrequentlyLocatedIn(2) isMostTypicalOf(2) isFrequentlyLost(1) areMoreFrequentThan(1) areMoreFrequentIn(1) areMostNumerousIn(1) areMoreProminentDuring(1) areFrequentlyFoundIn(1) areFrequentlySeenWith(1) isMoreSevereWith(1) wasAFrequentCauseOf(1) isOftenMistakenFor(1) isMoreFrequentThan(1) isMostRapidFrom(1),areMoreFrequentIn
68,67,isUsedIn(49) areUsedIn(9) canBeUsedIn(4) isCommonlyUsedIn(2) especiallyUsedIn(1) areEmployedIn(1) wasUsedIn(1),areUsedIn
69,50,indicates(43) indicate(5) induce(2),indicate
70,39,showed(34) showedThat(2) showing(2) wasShowing(1),showing
71,42,decreases(36) decreasesWith(3) decreasesIn(2) decreasesAfter(1),decreasesWith
72,27,transmits(19) transports(4) transfusion(2) transfers(2),transfers
73,28,developed(27) hasDeveloped(1),hasDeveloped
74,31,of(31),of
75,114,presentsWith(104) presentsIn(2) clinicallyPresentsWith(2) typicallyPresentsWith(1) presentsBetween(1) presentsLike(1) presentsAt(1) presentsRequestingFor(1) presentsAfter(1),presentsAt
76,11,gives(9) give(1) gave(1),give
77,41,isCalled(37) isAlsoCalled(4),isCalled
78,26,prevents(26),prevents
79,28,areDerivedFrom(16) isDerivedFrom(10) isThoughtToBeDerivedFrom(1) isNotDerivedFrom(1),isDerivedFrom
80,87,leadsTo(85) leadsInto(1) leadsToImprove(1),leadsInto
81,15,shouldBeExpelledFrom(3) isEliminatedFrom(2) mayBeEliminatedBy(2) isTakenToEliminate(1) areBestEliminatedBy(1) exitsByWayOf(1) canBeEliminatedAndChangedTo(1) cleanedBy(1) isExcretedBy(1) areEliminatedBy(1) mustBeKept(1),mayBeEliminatedBy
82,26,mentions(24) melanin(1) mention(1),mention
83,18,isGivenTo(10) isTo(2) isAccordingTo(2) is45To(1) isToGive(1) isLateralizedTo(1) isSentTo(1),isGivenTo
84,4,areATypeOf(4),areATypeOf
85,8,isACaseOf(4) isASignOf(2) admittedAsACaseOf(1) isACombinationOf(1),isACaseOf
86,35,isAlsoKnownAs(30) areAlsoKnownAs(2) alsoKnownAs(1) wasFormerlyKnownAs(1) isWellKnownFor(1),areAlsoKnownAs
87,14,isA(14),isA
88,11,comesWith(10) cameWith(1),comesWith
89,43,had(43),had
90,7,defines(7),defines
91,10,isBranchOf(5) areBranchesOf(2) isTerminalBranchOf(2) formedTheBasisOf(1),isBranchOf
92,11,isHigherIn(4) isMoreIn(3) hasHigher(1) is014OrMoreIn(1) isHighIn(1) incisionIsGivenBelowTheBorderOf(1),isHigherIn
93,84,resultsIn(82) usuallyResultsIn(1) yieldsDiagnosticResultsAfter(1),usuallyResultsIn
94,6,bindWith(3) bindsWith(2) bindAt(1),bindWith
95,39,supplies(34) substitutes(1) supports(1) suppresses(1) suppliesThrough(1) chieflySupplies(1),suppliesThrough
96,16,shouldHave(15) wouldHaveBeen(1),shouldHave
97,29,receive(24) shouldReceive(4) relieve(1),shouldReceive
98,36,isRelatedTo(15) relatedTo(3) wasRelatedTo(2) relatesMostDirectlyTo(2) areRelatedTo(2) isRelatedWith(1) isInverselyRelatedTo(1) relateTo(1) isAdjacentTo(1) presentsAVariableRelationshipWith(1) areChemicallyRelatedTo(1) isMostStronglyRelatedTo(1) isRelativePermeableTo(1) isUsedInRelationWith(1) relatesTo(1) isCloselyRelatedTo(1) areAdjacentTo(1),areRelatedTo
99,18,follows(15) follow(2) following(1),follow
100,29,arisesFrom(16) ariseFrom(7) arisingFrom(2) arisesMainlyFrom(1) ariseIn(1) arisesIn(1) arisesMajorlyIn(1),arisesIn
101,11,isMadeBy(3) canBeMadeBy(1) isNaturallyMadeBy(1) areMadeBy(1) wasMade(1) madeBy(1) areMadeByAdding(1) createdBy(1) isMadePossibleBy(1),isMadeBy
102,7,canBeConductedOn(2) conductedIn(2) isConductedMainlyOn(1) conductedOn(1) canBeConducted(1),canBeConductedOn
103,3,mostLikelyDiagnosisIs(1) isTheLikelyDiagnosisFor(1) isProbableDiagnosisFor(1),isProbableDiagnosisFor
104,17,means(17),means
105,28,mayBe(28),mayBe
106,34,inhibits(32) partiallyInhibits(2),inhibits
107,30,hasFeaturesOf(11) hasFeatureOf(7) areFeaturesOf(7) showsFeaturesOf(2) arePathognomonicFeatureOf(1) areTheFeaturesOf(1) featureOf(1),areFeaturesOf
108,33,isUsefulFor(9) isUsefulIn(3) hasEfficacyOf(2) areUsefulFor(2) isUsefulBecause(2) isNotUsefulFor(2) isNotUsefulAgainst(1) usesEnergyFor(1) areUsefulIn(1) thatUse(1) routineUse(1) isMostUsefulAsAMarkerFor(1) isRelevantFor(1) isMostUsefulFor(1) isUsefulInFindingOut(1) mayBeUsefulFor(1) isAUsefulAdjuvantTo(1) isTheMostUsefulParameterAccordingTo(1) areNotUsefulIn(1),isUsefulFor
109,16,isRecommendedIn(3) hasRecommended(2) isRecommended(2) isRecommendedAs(2) isNotRecommended(2) isRecommendedPriorTo(1) isRecommendedBeforeScan(1) isRecommendedWith(1) isRecommendedBy(1) isRecommendedIf(1),isRecommendedWith
110,19,isAPrecipitatingFactor(16) isAPredisposingFactorFor(2) arePrecipitatingFactorsFor(1),isAPredisposingFactorFor
111,14,wentInto(2) turnedInto(2) opensInto(2) goIn(1) areLiberatedInto(1) dippedIn(1) goesInto(1) cameIntoForceOn(1) distributedInto(1) directlyEntersInto(1) shattersInto(1),wentInto
112,14,induces(11) uterus(1) nicks(1) inhales(1),induces
113,15,isInjectedInto(5) isAspiratedInto(2) isCondensedInto(1) isInjectedThrough(1) isMostlyInjectedToControl(1) isInitiallyInfusedInto(1) isInjected(1) methodIs(1) injects(1) shouldStartInfusionWithin(1),isInjectedInto
114,14,isTreatmentOfChoiceFor(2) treatmentOfChoiceIs(2) isMethodOfChoice(1) methodOfChoice(1) haveToChoose(1) isTheInstrumentOfChoiceForRetractionIn(1) toProvideChoiceTo(1) shouldBeTheFirstChoiceToDetect(1) isTreatmentOfChoiceIn(1) isTheChoiceBecause(1) canChoose(1) isOfChoiceIn(1),isTreatmentOfChoiceFor
115,25,isIndicatedFor(9) isIndicatedIf(6) indicatedFor(3) isIndicatedWhen(2) isNotIndicatedFor(2) isIndicatedOnlyWhen(1) doNotIndicate(1) wouldBeIndicatedToDetect(1),isIndicatedFor
116,11,appearsOn(3) appearsIn(2) appearIn(2) appearsAfter(1) appearAt(1) appearSeparately(1) canBeMadeToAppear(1),appearsIn
117,7,areProducedBy(4) producedFrom(1) areProducedAt(1) producesSoundBy(1),areProducedBy
118,52,consistsOf(40) canConsistOf(2) comprisesOf(2) consistOf(2) consists(1) containsInformationOn(1) usuallyConsistOf(1) coexistsWith(1) consistsLargelyOf(1) consistOfPredominantly(1),consistOf
119,13,hasSubtype(13),hasSubtype
120,8,isControlledBy(4) canBeAddedToControl(1) shouldBeControlledWith(1) isTheTocForControlling(1) canBeControlledByAdministrationOf(1),isControlledBy
121,16,equals(16),equals
122,11,synthesizes(8) synthesize(2) minimizes(1),synthesize
123,7,isPrecipitatedBy(2) isPrecededBy(2) arePrevalent(1) isAppliedBefore(1) isGivenBefore(1),isPrecededBy
124,19,reduces(16) helpsReduce(2) helpsInReducing(1),helpsReduce
125,49,isSuggestiveOf(29) areSuggestiveOf(8) isHighlySuggestiveOf(6) wasSuggestiveOf(5) arePredictiveOf(1),areSuggestiveOf
126,28,hasHistoryOf(11) hasAHistoryOf(3) isGivingHistoryOf(2) haveHistoryOf(1) hasFamilyHistoryOf(1) isNoHistoryOf(1) hasChronologicalAgeOf(1) presentsAHistoryOf(1) givesHistoryOf(1) givesAHistoryOf(1) givesTheHistoryOf(1) havingHistoryOf(1) hasAHistoryOfTwoKidsBornWith(1) gaveTheHistoryThat(1) isGivingOneMonthHistoryOfUsing(1),haveHistoryOf
127,19,isBasedOn(11) areBasedOn(8),isBasedOn
128,36,wasGiven(8) wasGivenBy(4) wasWeanedFrom(1) wasConsumed(1) wasPrevalentIn(1) wasOrderedWith(1) wasOrdered(1) wasGivenAt(1) wasUsedBy(1) wasGivenFor(1) wasConductedWith(1) wasEnteredByMistakeAs(1) wasObtainedBy(1) wasGivenDuring(1) wasProposedBy(1) wasAdaptedFrom(1) wereFirstSoldAs(1) wasIntroducedBy(1) wasIntroducedIn(1) wasRecorded(1) wasStainedWith(1) wasLicensedFor(1) wasLicensedIn(1) wasRemarkableWith(1) wasRemarkableFor(1) wasCoinedBy(1),wasGivenBy
129,14,enters(10) entersWith(2) ingests(1) reenters(1),enters
130,14,blocks(6) block(4) blocksSecretionOf(2) blocksTheActionOf(1) ofWhichCementIs(1),blocks
131,20,isPerformedBy(2) isPerformedIn(2) isPerformedFor(2) areTheSameWhetherItIsPerformedBy(1) isPerformedWhen(1) isPerformedToDetermine(1) isPerformedAfter(1) wasPerformedOn(1) isPerformedThrough(1) isPerformedWith(1) isPerformedWithin(1) isAskedToPerform(1) isToBePerformedIn(1) isPerformedUsing(1) isPerformedOn(1) isToPerform(1) isPerformedFrom(1),isPerformedOn
132,30,isAnExampleOf(29) areExamplesOf(1),isAnExampleOf
133,6,become(4) becomeApparent(1) became(1),became
134,15,seenIn(13) seenOnlyIn(1) seenOn(1),seenOn
135,20,manifestsAs(13) manifestsInEyeAs(3) manifestsBy(2) manifestsIn(1) especiallyManifestsAs(1),manifestsIn
136,42,isSuppliedBy(27) isAccompaniedBy(3) areSuppliedBy(3) isMainlySuppliedBy(2) wereSupplementedBy(1) needToBeSuppliedIn(1) isSuppressedBy(1) areSuppliedIn(1) isSuppliedAs(1) isProvidedBy(1) isOccasionallySuppliedBy(1),isSuppliedBy
137,12,givesRiseTo(5) giveRiseTo(2) canGiveRiseTo(2) mayGiveRiseTo(2) mostLikelyGiveRiseTo(1),canGiveRiseTo
138,37,isBetween(7) isLocatedBetween(2) mustBeDoneBetween(2) isPerformedBetween(2) isMadeBetween(2) isBoth(1) presentBetween(1) isConnectionBetween(1) usedToRegainSpaceBetween(1) canBeUsedToDistinguishBetween(1) isAlwaysConstantBetween(1) isDoneBetween(1) mustElapseBetween(1) isActivatedBetween(1) liesBetween(1) piercesDuraMaterBetween(1) existsBetween(1) theDistanceBetween(1) areContainedBetween(1) arisesBetween(1) isUsuallyBetween(1) isPlacedInSeriesBetween(1) isPresentBetween(1) describesBalanceBetween(1) cannotBeInsinuatedBetween(1) passBetween(1) lieInBetween(1),isPresentBetween
139,28,isPartOf(12) areEssentialPartOf(4) isNotPartOf(3) arePartOf(3) formsPartOf(3) vestibularPartIsFor(1) doNotBecomePartOf(1) formPartOf(1),arePartOf
140,9,experiences(5) experience(4),experiences
141,4,expresses(2) expands(1) neverExpress(1),expresses
142,60,isReferredIn(52) isReferredBy(5) isReferredToIn(2) isReferredOn(1),isReferredToIn
143,58,increases(55) increasesWith(2) increasesFrom(1),increasesWith
144,16,allows(15) allow(1),allow
145,8,actAs(5) wasWorkingAs(1) willActAs(1) workAs(1),workAs
146,14,measures(12) measuring(1) measure(1),measure
147,4,theCarotidAerialPulse(1) performedBefore10Weeks(1) formsClotDueTo(1) dueToIncreased(1),dueToIncreased
148,10,isUsedToDiagnose(2) isUsedForDiagnosisOf(2) isSometimesDiagnosedIn(1) isSometimesMisdiagnosedAs(1) isTheMostAccurateAndSafestMethodToDiagnose(1) isRecommended5YearsAfterDiagnosisFor(1) isTakenToDiagnose(1) areFrequentlyAlsoDiagnosedWith(1),isUsedToDiagnose
149,15,isShorterThan(2) isThickerAndStrongerThan(1) weight(1) isABetterMediumThan(1) isBetterMediumThan(1) isLongerThan(1) areMuchSmallerThan(1) isMuchShorterThan(1) areSignificantlyLargerThan(1) isThinnest(1) isEqualInThicknessTo(1) isSmallerThan(1) isThinnestAbout6MmBehind(1) isShorterOrLongerThan(1),isMuchShorterThan
150,27,isActivatedBy(12) isInitiatedBy(3) getActivatedBy(3) areActivatedToBecome(2) isDeactivatedBy(2) causesActivationOf(1) isInvolvedInTheActivationOf(1) representsActivityIn(1) causeActivationOf(1) areReadilyInactivatedBy(1),isActivatedBy
151,4,includesRemovalOf(3) doesNotIncludeRemovalOf(1),includesRemovalOf
152,17,detects(13) detect(2) distinguishes(2),detect
153,9,isDocFor(8) isTheDocFor(1),isDocFor
154,16,isCarriedBy(3) isCarriedOutBy(2) wasCarriedOutIn(1) areCarriersOf(1) toCarryIn(1) areCarriedOn(1) isUsedToCarryOut(1) isNotCarriedBy(1) areCarriedTo(1) areCarriedIn(1) isCarriedIn(1) hasToBeCarriedOut(1) isCarriedOutIn(1),areCarriedIn
155,6,primarilyAffects(2) mostlyAffects(1) likelyToAffect(1) mayAffect(1) predominantlyAffects(1),primarilyAffects
156,43,isFormedBy(31) isFormedFrom(3) isFormedOn(2) areFormed(1) isFormed(1) isFormedThrough(1) isFormedByFusionOf(1) areFormedBy(1) isFormedByLossOfFragmentHaving(1) isFormedByReactionOf(1),isFormed
157,22,represents(18) represent(2) represented(1) generallyRepresents(1),represent
158,11,covers(10) uncovers(1),uncovers
159,1,areUnder(1),areUnder
160,13,shouldBeGiven(5) shouldBeGivenTo(3) weShouldGive(1) shouldNotBeGivenTill(1) shouldBeGivenAt(1) shouldBeObtainedFrom(1) shouldBeObtained(1),shouldBeGiven
161,12,destroys(5) destroy(1) deglazes(1) depicts(1) discovers(1) distort(1) derives(1) decriminalises(1),destroys
162,23,in(23),in
163,10,areHighlySusceptibleTo(2) isLeastSusceptibleTo(2) susceptibleTo(2) areEquallySusceptibleIn(1) areEspeciallySusceptible(1) areLessSusceptibleTo(1) isSusceptibleTo(1),isSusceptibleTo
164,39,isOn(20) wasOn(5) isNow(2) isWearing(1) isPlayedOn(1) areOn(1) isASiteOn(1) areOnRecordAsOn(1) asOn(1) isOver(1) isPutOn(1) isAvailableOn(1) isShownOn(1) inPersonOn(1) workOn(1),areOn
165,8,connects(8),connects
166,9,areResponsibleFor(5) responsibleFor(2) becomesLegallyLiableFor(1) isResponsibleForMediating(1),areResponsibleFor
167,15,willBe(13) willNotBe(2),willBe
168,15,recommends(14) specificallyRecommendsAvoiding(1),recommends
169,12,activates(11) alleviates(1),activates
170,33,mayBeSeenIn(16) mightDifferIn(2) mayBeBisferiensIn(1) mayBeAbsentIn(1) mayBeSaferFor(1) mayBeSeenAs(1) mayBeMoreSevereIn(1) mayBeFeltAlongside(1) mayBeSuppliedIn(1) mayBeIntroducedAt(1) mayBeEvokedBy(1) mayBeReplacedIn(1) mayBeSlightIncreaseIn(1) mayAlsoBeFoundIn(1) mayBeGivenThrough(1) mayBeRetained(1) mayBeTrappedBetween(1),mayAlsoBeFoundIn
171,24,extendsFrom(4) extendsUpTo(4) extendsTo(3) extendsOnto(2) extendsAsFarAs(2) extendInto(2) extendsTill(2) isToALesserExtentBy(1) haveAxonalExtensionsTo(1) extends(1) isToTheExtentOf(1) uncoversTheExtentToWhich(1),extendsTo
172,3,isPartiallyNeutralized(1) mostCommonlyAffects(1) isMostCommonlyAffectedByDeficiencyOf(1),isMostCommonlyAffectedByDeficiencyOf
173,9,isExcludedFrom(2) isNotIncludedIn(2) isUsedToExclude(1) wasIncludedIn(1) isNotAvailableIn(1) isIncludedInto(1) isIncludedIn(1),isNotIncludedIn
174,20,shouldBeIn(3) shouldNeverBe(1) shouldBeFor(1) shouldBePutInto(1) shouldHaveLaborInducedAt(1) shouldBecome(1) shouldBeAttemptedFor(1) shouldHaveARatioOf(1) shouldBeAttemptedIn(1) shouldBeAbout(1) shouldBeConfinedTo(1) shouldBeKeptAt(1) shouldBeAt(1) shouldNotBe(1) shouldBeTold(1) needsToBeCorrectedAt(1) shouldBePointed(1) shouldBeAtTheAgeOf(1),shouldNotBe
175,9,comeFrom(4) comesFrom(3) primarilyComeFrom(1) comesOutVia(1),comeFrom
176,22,isHaving(16) wasHaving(3) isDrinking(1) having(1) isNotHaving(1),wasHaving
177,15,mayPresentWith(8) mayRespondWellTo(2) mayDemonstrate(1) mayDevelopWithinAFewDaysOf(1) mayOccurAcutelyWith(1) mayPresentAs(1) mayBecome(1),mayPresentAs
178,7,measuredBy(2) wasMeasuredAs(2) wasMeasuredIn(1) measuredIn(1) wasMeasured(1),wasMeasured
179,11,isAModificationOf(3) isAMixtureOf(2) isAMeasureOf(2) isTheIdealImagingToolIn(1) isATechniqueToFindIntegrityOf(1) 12MgMistakenlyDoseOfEpiduralMorphine(1) isATandemRepeatOf(1),isAMeasureOf
180,16,stains(15) stain(1),stain
181,26,isRequiredFor(13) isRequiredIf(2) mayBeRequiredFor(1) requiredOver(1) requiredFor(1) isRequiredToMaintain(1) isRequiredBefore(1) isNotRequiredOn(1) isPrerequisiteFor(1) isRequiredIn(1) isRequiredToChange(1) requiredToForm(1) isNotRequired(1),isRequiredFor
182,10,storageDuration(5) durationOfActionIs(2) durationOfAction(1) settingTimeIs(1) durationOfRegimen(1),durationOfAction
183,27,isFollowedBy(17) usuallyFollows(1) followsThePlanAdvocatedBy(1) shouldAlwaysBeFollowedBy(1) usuallyAccompanyOrFollow(1) wasFollowing(1) followedBy(1) shouldNotBeFollowedIn(1) followedIs(1) shouldBeAppliedFollowedBy(1) mayBeFollowedBy(1),shouldAlwaysBeFollowedBy
184,17,helpsIn(4) canHelp(2) helpsToExplain(2) willBestHelpIn(1) willHelpIn(1) helpsDecide(1) helpsInDepressing(1) helpsInTurning(1) goesIn(1) hearsBetterIn(1) hardenIn(1) helpIn(1),willHelpIn
185,31,isRecommendedFor(25) areRecommendedFor(3) isRecommendedForWomenDuring(1) recommendedFor(1) notRecommendedFor(1),areRecommendedFor
186,21,isFrom(19) areFrom(2),isFrom
187,11,demonstrates(6) demonstrated(2) perform(1) areDemonstratedOn(1) demonstrate(1),demonstrate
188,15,drainsInto(9) drainsDirectlyInto(2) isDrainedInto(1) leaksFluidInto(1) hasHepaticVeinsThatOftenDrainDirectlyInto(1) ramifiesInto(1),drainsDirectlyInto
189,8,inhibitsMetabolismOf(3) detoxifies(1) detoxify(1) detoxifyDrugsIn(1) doesNotInhibitMetabolismOf(1) increaseTheRiskOfHepatotoxicityInducedBy(1),detoxifies
